ID,Prob1
0, 0.99
1, 0.61
2, 0.21
3, 0.03
4, 0.18
5, 0.08
6, 0.32
7, 0.66
8, 0.00
9, 0.05
10, 0.12
11, 0.05
12, 0.72
13, 0.48
14, 0.17
15, 0.27
16, 0.68
17, 0.93
18, 0.00
19, 0.35
20, 0.95
21, 0.74
22, 0.07
23, 0.33
24, 0.15
25, 0.88
26, 0.86
27, 0.06
28, 0.12
29, 0.14
30, 0.53
31, 0.39
32, 0.31
33, 0.01
34, 0.71
35, 0.25
36, 0.20
37, 0.13
38, 0.51
39, 0.10
40, 0.00
41, 0.38
42, 0.20
43, 0.27
44, 0.42
45, 0.00
46, 0.66
47, 0.15
48, 0.98
49, 0.29
50, 0.20
51, 0.01
52, 0.95
53, 0.04
54, 0.05
55, 0.67
56, 0.00
57, 0.50
58, 0.20
59, 0.01
60, 0.10
61, 0.07
62, 0.01
63, 0.75
64, 0.03
65, 0.02
66, 0.24
67, 0.03
68, 0.00
69, 0.60
70, 0.01
71, 0.13
72, 0.26
73, 0.59
74, 0.63
75, 0.48
76, 0.02
77, 0.17
78, 0.15
79, 0.03
80, 0.09
81, 0.52
82, 0.75
83, 0.18
84, 0.48
85, 0.42
86, 0.88
87, 0.41
88, 0.08
89, 0.04
90, 0.16
91, 0.14
92, 0.99
93, 0.85
94, 0.62
95, 0.47
96, 0.00
97, 0.13
98, 0.84
99, 0.17
100, 0.56
101, 0.76
102, 0.13
103, 0.78
104, 0.01
105, 0.45
106, 0.29
107, 0.91
108, 0.35
109, 0.21
110, 0.03
111, 0.23
112, 1.00
113, 0.46
114, 0.27
115, 0.03
116, 0.01
117, 0.21
118, 0.08
119, 0.17
120, 0.43
121, 0.44
122, 0.23
123, 0.22
124, 0.02
125, 0.20
126, 0.32
127, 0.16
128, 0.96
129, 0.96
130, 0.13
131, 0.15
132, 0.74
133, 0.57
134, 0.52
135, 1.00
136, 0.26
137, 0.90
138, 0.01
139, 0.56
140, 0.31
141, 0.66
142, 0.89
143, 0.05
144, 0.51
145, 0.13
146, 0.79
147, 0.23
148, 0.22
149, 0.06
150, 0.32
151, 0.51
152, 0.03
153, 0.73
154, 0.02
155, 0.14
156, 0.32
157, 0.14
158, 0.39
159, 0.53
160, 0.34
161, 0.11
162, 0.37
163, 0.23
164, 0.99
165, 0.31
166, 0.29
167, 0.33
168, 0.42
169, 0.12
170, 0.35
171, 0.46
172, 0.25
173, 0.10
174, 0.25
175, 0.04
176, 0.56
177, 0.14
178, 0.34
179, 0.75
180, 0.62
181, 0.00
182, 0.21
183, 0.16
184, 0.17
185, 0.31
186, 0.41
187, 0.25
188, 0.73
189, 0.56
190, 0.17
191, 0.28
192, 0.50
193, 0.65
194, 0.32
195, 0.46
196, 0.99
197, 0.06
198, 0.68
199, 0.74
200, 0.07
201, 0.77
202, 0.08
203, 0.15
204, 0.36
205, 0.02
206, 0.34
207, 0.00
208, 0.70
209, 0.47
210, 0.32
211, 0.23
212, 0.47
213, 0.14
214, 0.72
215, 0.01
216, 0.67
217, 0.56
218, 0.25
219, 0.70
220, 0.94
221, 0.01
222, 0.93
223, 0.73
224, 0.91
225, 0.70
226, 0.98
227, 0.71
228, 0.21
229, 0.00
230, 0.97
231, 0.99
232, 0.01
233, 0.00
234, 0.19
235, 0.23
236, 0.16
237, 0.01
238, 0.89
239, 0.05
240, 0.34
241, 0.03
242, 0.05
243, 0.74
244, 0.03
245, 0.49
246, 0.63
247, 0.57
248, 0.38
249, 0.50
250, 0.46
251, 0.87
252, 0.22
253, 0.04
254, 0.39
255, 0.70
256, 1.00
257, 0.06
258, 0.28
259, 0.58
260, 0.17
261, 0.04
262, 0.06
263, 0.04
264, 0.17
265, 0.03
266, 0.03
267, 0.69
268, 0.23
269, 0.32
270, 0.05
271, 0.54
272, 0.67
273, 0.11
274, 0.34
275, 0.76
276, 0.20
277, 0.14
278, 0.44
279, 0.69
280, 0.22
281, 0.07
282, 0.17
283, 0.32
284, 0.35
285, 0.69
286, 0.02
287, 0.00
288, 0.02
289, 0.27
290, 1.00
291, 0.38
292, 0.22
293, 0.11
294, 0.30
295, 0.66
296, 0.02
297, 0.32
298, 0.49
299, 0.33
300, 0.09
301, 0.15
302, 0.71
303, 0.73
304, 0.02
305, 0.02
306, 0.02
307, 0.05
308, 0.16
309, 0.25
310, 0.09
311, 0.28
312, 0.15
313, 0.11
314, 0.93
315, 0.46
316, 0.84
317, 0.01
318, 0.17
319, 0.69
320, 0.26
321, 0.24
322, 0.12
323, 0.88
324, 0.09
325, 0.23
326, 0.96
327, 0.47
328, 0.03
329, 0.83
330, 0.78
331, 0.01
332, 0.81
333, 0.06
334, 0.76
335, 0.30
336, 0.05
337, 0.16
338, 0.03
339, 0.07
340, 0.77
341, 0.31
342, 0.20
343, 0.32
344, 0.00
345, 0.09
346, 0.12
347, 0.06
348, 0.05
349, 0.00
350, 0.02
351, 0.84
352, 0.11
353, 0.26
354, 0.09
355, 0.05
356, 0.04
357, 0.40
358, 0.19
359, 0.13
360, 0.02
361, 0.11
362, 0.41
363, 0.08
364, 0.07
365, 0.79
366, 0.24
367, 0.47
368, 0.93
369, 0.51
370, 0.78
371, 0.03
372, 0.85
373, 0.60
374, 0.72
375, 0.04
376, 0.30
377, 0.03
378, 0.74
379, 0.01
380, 0.93
381, 0.30
382, 0.06
383, 0.23
384, 0.28
385, 0.27
386, 0.67
387, 0.77
388, 0.01
389, 0.84
390, 0.14
391, 0.06
392, 0.45
393, 0.13
394, 0.50
395, 0.06
396, 0.14
397, 0.00
398, 0.42
399, 0.02
400, 0.08
401, 0.97
402, 0.37
403, 0.07
404, 0.18
405, 0.05
406, 0.17
407, 0.03
408, 0.14
409, 0.31
410, 0.01
411, 0.47
412, 0.49
413, 0.88
414, 0.44
415, 0.00
416, 0.13
417, 0.13
418, 0.06
419, 0.02
420, 0.40
421, 0.86
422, 0.32
423, 0.32
424, 0.75
425, 0.30
426, 0.04
427, 0.06
428, 0.19
429, 0.83
430, 0.25
431, 0.50
432, 0.30
433, 0.46
434, 0.08
435, 0.01
436, 0.48
437, 0.30
438, 0.37
439, 0.25
440, 0.43
441, 0.05
442, 0.50
443, 0.52
444, 0.52
445, 0.09
446, 0.30
447, 0.65
448, 0.02
449, 0.47
450, 0.93
451, 0.02
452, 0.03
453, 0.71
454, 0.33
455, 0.86
456, 0.37
457, 0.39
458, 0.00
459, 0.02
460, 0.18
461, 0.24
462, 0.04
463, 0.88
464, 0.04
465, 0.11
466, 0.87
467, 0.23
468, 0.17
469, 0.71
470, 0.26
471, 0.00
472, 0.11
473, 0.37
474, 0.11
475, 0.29
476, 0.02
477, 0.13
478, 0.61
479, 0.40
480, 0.36
481, 0.00
482, 0.00
483, 0.30
484, 0.89
485, 0.57
486, 0.25
487, 0.13
488, 0.51
489, 0.36
490, 0.63
491, 0.30
492, 0.04
493, 0.06
494, 0.00
495, 0.44
496, 0.57
497, 0.15
498, 0.99
499, 0.20
500, 0.18
501, 0.18
502, 0.75
503, 0.04
504, 0.03
505, 0.97
506, 0.09
507, 0.95
508, 0.20
509, 0.57
510, 0.28
511, 0.75
512, 0.08
513, 0.86
514, 0.71
515, 0.02
516, 0.01
517, 0.74
518, 0.80
519, 0.02
520, 0.43
521, 0.76
522, 0.30
523, 0.67
524, 0.38
525, 0.18
526, 0.73
527, 0.39
528, 0.12
529, 0.25
530, 0.07
531, 0.00
532, 0.02
533, 0.07
534, 0.77
535, 0.34
536, 0.69
537, 0.25
538, 0.10
539, 0.41
540, 0.48
541, 0.26
542, 0.32
543, 0.65
544, 0.40
545, 0.90
546, 0.03
547, 0.05
548, 0.63
549, 0.26
